                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.53539,                0.30297,                0.84704,                0.99048,                      1,                  0.995,                0.92829,                0.41007,                0.25587,                0.78986,              0.0011661,              0.0011661,              0.0011661
                    106,                0.53422,                0.30454,                0.84804,                0.98458,                      1,                  0.995,                0.92825,                0.39127,                0.25085,                0.78721,              0.0011576,              0.0011576,              0.0011576
                    107,                0.53894,                0.30638,                0.85259,                0.98408,                0.99979,                  0.995,                0.92618,                 0.3995,                0.25107,                 0.7862,               0.001149,               0.001149,               0.001149
                    108,                0.54147,                0.30803,                0.86259,                0.98951,                      1,                  0.995,                0.93617,                0.37107,                0.25096,                0.78384,              0.0011404,              0.0011404,              0.0011404
                    109,                0.53563,                0.30479,                0.84499,                0.99518,                      1,                  0.995,                0.92057,                0.42164,                0.25054,                0.79494,              0.0011318,              0.0011318,              0.0011318
                    110,                0.55004,                0.31765,                 0.8361,                0.99666,                      1,                  0.995,                0.92719,                0.41851,                0.24667,                0.79496,              0.0011231,              0.0011231,              0.0011231
                    111,                0.50817,                0.29386,                 0.8124,                0.99743,                      1,                  0.995,                 0.9479,                0.38618,                0.23615,                0.78697,              0.0011144,              0.0011144,              0.0011144
                    112,                0.49857,                0.29444,                0.81894,                0.99762,                      1,                  0.995,                0.92582,                0.37841,                0.23076,                0.78326,              0.0011056,              0.0011056,              0.0011056
                    113,                0.48148,                0.28556,                0.81876,                0.99778,                      1,                  0.995,                0.93715,                0.38944,                0.23647,                 0.7855,              0.0010968,              0.0010968,              0.0010968
                    114,                0.48786,                0.29584,                0.84741,                0.99722,                      1,                  0.995,                0.92158,                0.44042,                0.24398,                0.79131,               0.001088,               0.001088,               0.001088
                    115,                0.49537,                0.27734,                0.83319,                0.99672,                      1,                  0.995,                0.92442,                 0.4058,                0.23122,                0.78758,              0.0010792,              0.0010792,              0.0010792
                    116,                0.48521,                0.28333,                0.84284,                0.99679,                      1,                  0.995,                0.93517,                 0.3875,                0.22155,                0.78716,              0.0010703,              0.0010703,              0.0010703
                    117,                0.58818,                0.30708,                0.90475,                0.99682,                      1,                  0.995,                0.93169,                0.39238,                0.21993,                 0.7851,              0.0010614,              0.0010614,              0.0010614
                    118,                0.57516,                0.31426,                0.83914,                0.99685,                      1,                  0.995,                0.94422,                0.37735,                0.21903,                0.78558,              0.0010524,              0.0010524,              0.0010524
                    119,                0.52455,                0.28126,                0.87216,                0.99697,                      1,                  0.995,                0.92907,                 0.4118,                0.22814,                0.79432,              0.0010435,              0.0010435,              0.0010435
                    120,                0.52566,                0.29228,                0.81882,                0.99706,                      1,                  0.995,                0.92901,                0.39982,                0.22354,                0.79101,              0.0010345,              0.0010345,              0.0010345
                    121,                0.46727,                0.26793,                0.82837,                0.99699,                      1,                  0.995,                 0.9401,                0.37618,                0.21161,                 0.7849,              0.0010255,              0.0010255,              0.0010255
                    122,                 0.5297,                0.28957,                0.89132,                0.99712,                      1,                  0.995,                0.93233,                 0.4024,                0.21284,                0.78859,              0.0010164,              0.0010164,              0.0010164
                    123,                0.49059,                0.28473,                0.88848,                0.99725,                      1,                  0.995,                0.93031,                0.38721,                0.22107,                0.78974,              0.0010074,              0.0010074,              0.0010074
                    124,                0.46698,                0.27233,                 0.8112,                0.99724,                      1,                  0.995,                0.93296,                0.39321,                0.22375,                0.78876,             0.00099827,             0.00099827,             0.00099827
                    125,                0.48467,                0.27822,                0.82933,                0.99701,                      1,                  0.995,                0.93763,                0.39782,                0.22462,                0.78864,             0.00098917,             0.00098917,             0.00098917
                    126,                0.50652,                0.27481,                0.82632,                0.99666,                      1,                  0.995,                0.94461,                0.37717,                0.21442,                 0.7867,             0.00098006,             0.00098006,             0.00098006
                    127,                0.50874,                0.29718,                0.82892,                0.99669,                      1,                  0.995,                0.93732,                0.39738,                0.21337,                0.78814,             0.00097092,             0.00097092,             0.00097092
                    128,                  0.498,                0.25922,                0.83713,                0.99718,                      1,                  0.995,                0.92881,                0.37833,                0.20611,                0.78615,             0.00096177,             0.00096177,             0.00096177
                    129,                0.45689,                0.27107,                0.84386,                0.99764,                      1,                  0.995,                0.93226,                0.39035,                0.21523,                 0.7885,              0.0009526,              0.0009526,              0.0009526
                    130,                0.47701,                0.27454,                0.82532,                0.99776,                      1,                  0.995,                0.93204,                0.38563,                0.22073,                0.78723,             0.00094342,             0.00094342,             0.00094342
                    131,                0.53619,                0.27893,                0.83844,                0.99774,                      1,                  0.995,                0.93944,                0.35718,                0.21094,                0.78303,             0.00093422,             0.00093422,             0.00093422
                    132,                0.46047,                0.26983,                0.83619,                0.99733,                      1,                  0.995,                0.94097,                0.34493,                0.20701,                0.78164,             0.00092502,             0.00092502,             0.00092502
                    133,                0.44198,                0.27723,                0.81209,                0.99678,                      1,                  0.995,                0.94374,                0.34475,                0.20964,                  0.782,              0.0009158,              0.0009158,              0.0009158
                    134,                0.50075,                0.30185,                0.82135,                0.99676,                      1,                  0.995,                0.93717,                0.35573,                0.20329,                 0.7842,             0.00090658,             0.00090658,             0.00090658
                    135,                 0.4668,                 0.2711,                0.83822,                0.99706,                      1,                  0.995,                0.95057,                0.35685,                0.21136,                0.78333,             0.00089734,             0.00089734,             0.00089734
                    136,                0.52387,                 0.2914,                0.85243,                 0.9973,                      1,                  0.995,                0.95027,                0.34693,                 0.2063,                0.78179,              0.0008881,              0.0008881,              0.0008881
