epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,334.943,0.40332,0.23421,0.80061,0.99578,1,0.995,0.91775,0.35247,0.18881,0.81933,0.000289692,0.000289692,0.000289692
112,337.904,0.37474,0.2204,0.79607,0.99583,1,0.995,0.9211,0.3493,0.18708,0.81966,0.000276971,0.000276971,0.000276971
113,340.88,0.38567,0.22394,0.78969,0.99589,1,0.995,0.92045,0.35029,0.18716,0.81991,0.000264497,0.000264497,0.000264497
114,343.808,0.37703,0.21829,0.79706,0.99601,1,0.995,0.92485,0.35295,0.18565,0.81952,0.000252277,0.000252277,0.000252277
115,346.791,0.37696,0.21378,0.79178,0.99682,1,0.995,0.92239,0.34639,0.18506,0.81878,0.000240316,0.000240316,0.000240316
116,349.772,0.38602,0.21861,0.80801,0.99798,1,0.995,0.92662,0.34101,0.17942,0.81836,0.000228618,0.000228618,0.000228618
117,352.756,0.36652,0.20968,0.80881,0.9983,1,0.995,0.92302,0.34436,0.1801,0.81904,0.000217189,0.000217189,0.000217189
118,355.731,0.37568,0.22682,0.80898,0.99838,1,0.995,0.91947,0.347,0.17893,0.81885,0.000206034,0.000206034,0.000206034
119,358.658,0.36737,0.21167,0.81233,0.99865,1,0.995,0.92601,0.33833,0.18153,0.81846,0.000195159,0.000195159,0.000195159
120,361.599,0.37056,0.2122,0.81311,0.99884,1,0.995,0.92875,0.33549,0.1817,0.81821,0.000184566,0.000184566,0.000184566
121,364.568,0.36514,0.21339,0.78971,0.99892,1,0.995,0.92651,0.33426,0.18209,0.8179,0.000174262,0.000174262,0.000174262
122,367.479,0.36735,0.21281,0.79725,0.99884,1,0.995,0.93224,0.32808,0.18142,0.81682,0.000164251,0.000164251,0.000164251
123,370.459,0.41764,0.23122,0.8342,0.99846,1,0.995,0.9345,0.32537,0.17824,0.81683,0.000154538,0.000154538,0.000154538
124,373.41,0.35908,0.20288,0.79531,0.99827,1,0.995,0.93227,0.32544,0.17648,0.81669,0.000145125,0.000145125,0.000145125
125,376.336,0.36165,0.21876,0.80436,0.99866,1,0.995,0.93162,0.32574,0.1763,0.81647,0.000136018,0.000136018,0.000136018
126,379.262,0.36993,0.20962,0.80815,0.99897,1,0.995,0.92951,0.32103,0.1729,0.81616,0.000127221,0.000127221,0.000127221
127,382.186,0.36416,0.20837,0.79175,0.9991,1,0.995,0.92942,0.31835,0.17378,0.8166,0.000118737,0.000118737,0.000118737
128,385.111,0.33641,0.19587,0.79846,0.99911,1,0.995,0.93053,0.31567,0.17518,0.81679,0.000110571,0.000110571,0.000110571
129,388.063,0.35431,0.19762,0.79154,0.9991,1,0.995,0.93318,0.31354,0.17117,0.81681,0.000102725,0.000102725,0.000102725
130,391.006,0.37521,0.21791,0.79341,0.99908,1,0.995,0.93755,0.30935,0.16954,0.8161,9.52034e-05,9.52034e-05,9.52034e-05
131,393.987,0.35046,0.20288,0.79763,0.99908,1,0.995,0.94508,0.3051,0.17118,0.81524,8.80093e-05,8.80093e-05,8.80093e-05
132,396.979,0.34952,0.20992,0.80538,0.99907,1,0.995,0.94132,0.30749,0.16754,0.81523,8.11458e-05,8.11458e-05,8.11458e-05
